country,name,website
AD,University of Andorra,http://www.uda.ad/
AE,Abu Dhabi University,http://www.adu.ac.ae/
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/
AE,Al Ghurair University,http://www.agu.ae/
AE,Alhosn University,http://www.alhosnu.ae/
AE,Al Khawarizmi International College,http://www.khawarizmi.com/
AE,American College Of Dubai,http://www.acd.ac.ae/
AE,American University in Dubai,http://www.aud.edu/
AE,American University in the Emirates,http://www.aue.ae/
AE,American University of Sharjah,http://www.aus.edu/
AE,British University in Dubai,http://www.buid.ac.ae/
